a;degC
0;239.2173131
0.01303489;239.5250634
0.026009779;239.0737943
0.051959559;238.7211511
0.103859117;238.1435585
0.155758676;236.0960858
0.259557793;227.8660101
0.467156027;209.9087705
0.882352495;184.5098998
1.297548963;168.6520209
2.1279419;153.2718397
2.958334836;144.8425913
4.619120709;137.9369925
6.279906582;135.0536844
7.940692455;133.7146528
10.94069245;132.9060641
13.94069245;132.644578
16.94069245;132.6124477
19.94069245;132.6768429
22.94069245;132.7863244
25.94069245;132.9141498
28.94069245;133.0449663
31.94069245;133.1716013
